label,class_idx,train_support,test_support,predicted_positives,precision,recall,f1,average_precision,roc_auc
CCSR_PRG003,402,17,1,0,0.0,0.0,0.0,0.0009699321047526673,0.9435183154200483
CCSR_NEO027,324,95,14,3,0.0,0.0,0.0,0.0009395835059673359,0.5565886125069575
CCSR_PRG006,405,18,2,0,0.0,0.0,0.0,0.0009335412968107216,0.9089936934466686
CCSR_NEO046,343,21,1,0,0.0,0.0,0.0,0.0009302325581395349,0.9411055055933318
CCSR_PRG015,413,17,3,0,0.0,0.0,0.0,0.0009187621915970429,0.6190998500968885
CCSR_NEO026,323,48,16,1,0.0,0.0,0.0,0.0009111308734042515,0.4232959222874705
CCSR_INJ075,225,67,7,0,0.0,0.0,0.0,0.0008770502642540511,0.5048977352872032
CCSR_NEO004,301,9,5,0,0.0,0.0,0.0,0.0008691063717373448,0.6780386134269416
CCSR_FAC004,107,97,7,13,0.0,0.0,0.0,0.0008488619332960599,0.466139017318392
CCSR_EYE009,102,38,5,0,0.0,0.0,0.0,0.000846657299685853,0.6484313295304958
CCSR_INF001,146,89,2,11,0.0,0.0,0.0,0.0007761398693228753,0.5885385248149164
CCSR_NEO028,325,66,11,0,0.0,0.0,0.0,0.000647714102839455,0.4125973883463184
CCSR_INJ018,174,13,3,0,0.0,0.0,0.0,0.0006256560589136943,0.7708584695257943
CCSR_PRG005,404,11,1,1,0.0,0.0,0.0,0.0005984440454817474,0.908422899758719
CCSR_EAR002,75,73,6,4,0.0,0.0,0.0,0.0005782917503315753,0.6495438173075165
CCSR_INJ019,175,86,6,517,0.0,0.0,0.0,0.0005737391880480757,0.512396467555263
CCSR_NEO069,365,47,3,1,0.0,0.0,0.0,0.0005484359124131692,0.6635040766333955
CCSR_MUS017,278,56,5,1,0.0,0.0,0.0,0.0005306833712411136,0.6121325142606406
CCSR_INJ076,226,73,6,268,0.0,0.0,0.0,0.000512887873644148,0.4574534218272905
CCSR_FAC003,106,116,12,15,0.0,0.0,0.0,0.00048111050085463574,0.3124462734339277
CCSR_INJ009,166,23,7,0,0.0,0.0,0.0,0.00047258342199203837,0.5378496982995062
CCSR_INJ071,221,33,4,0,0.0,0.0,0.0,0.0004355400028797431,0.6501947019141118
CCSR_FAC020,115,32,3,0,0.0,0.0,0.0,0.000428019006965958,0.7316551497203028
CCSR_INJ072,222,43,4,0,0.0,0.0,0.0,0.000421974108150175,0.6090056490977898
CCSR_INJ070,220,9,1,0,0.0,0.0,0.0,0.00041631973355537054,0.8683373546830445
CCSR_INJ013,170,75,7,290,0.0,0.0,0.0,0.0003522269387395424,0.3851579029856594
CCSR_CIR010,20,36,3,0,0.0,0.0,0.0,0.0003079458912319385,0.6408358012504113
CCSR_MUS035,294,36,7,0,0.0,0.0,0.0,0.0003070768537297341,0.32988793981662873
CCSR_END017,93,2,1,0,0.0,0.0,0.0,0.00030609121518212427,0.8209037069532792
CCSR_INJ074,224,23,7,0,0.0,0.0,0.0,0.00030063761970415423,0.2770472533500509
CCSR_INJ025,181,55,6,2,0.0,0.0,0.0,0.00027717589600203114,0.33984239299361896
CCSR_MUS027,286,26,2,0,0.0,0.0,0.0,0.0002088586958229217,0.41883740060323554
CCSR_INJ049,204,22,3,0,0.0,0.0,0.0,0.0001852991426645477,0.3974260538919966
CCSR_INJ054,206,22,2,0,0.0,0.0,0.0,0.00017003954689114937,0.5252399232245681
CCSR_INJ048,203,12,1,0,0.0,0.0,0.0,0.00016998130205677376,0.6774511954375959
CCSR_CIR002,12,13,4,0,0.0,0.0,0.0,0.00016355156561279855,0.19841770416278176
CCSR_NEO003,300,18,2,0,0.0,0.0,0.0,0.0001601840147904881,0.5012338908692076
CCSR_SYM009,460,2,2,0,0.0,0.0,0.0,0.00015767742578397866,0.39267891417603507
CCSR_NEO049,346,24,2,0,0.0,0.0,0.0,0.00011481617831606152,0.2981902933918289
CCSR_PRG004,403,17,1,0,0.0,0.0,0.0,0.00011129660545353366,0.5073481026540908
CCSR_PRG007,406,9,1,0,0.0,0.0,0.0,9.038322487346348e-05,0.39334283834174166
CCSR_RSP015,442,54,1,183,0.0,0.0,0.0,8.914244963451596e-05,0.38489800394823426
CCSR_INJ047,202,8,1,0,0.0,0.0,0.0,6.496881496881497e-05,0.156037508225488
CCSR_NEO010,307,33,1,0,0.0,0.0,0.0,6.31911532385466e-05,0.1322658477736346
CCSR_INF005,150,28,1,0,0.0,0.0,0.0,5.829204313611192e-05,0.05933318710243474
CCSR_INJ050,205,4,1,0,0.0,0.0,0.0,5.5700997047847156e-05,0.015628427286685675
CCSR_EAR005,78,0,0,0,0.0,0.0,0.0,0.0,
CCSR_EYE011,104,6,0,0,0.0,0.0,0.0,0.0,
CCSR_GEN015,134,1,0,0,0.0,0.0,0.0,0.0,
CCSR_INJ014,171,1,0,0,0.0,0.0,0.0,0.0,
CCSR_INJ044,199,0,0,0,0.0,0.0,0.0,0.0,
CCSR_INJ046,201,6,0,0,0.0,0.0,0.0,0.0,
CCSR_INJ055,207,0,0,0,0.0,0.0,0.0,0.0,
CCSR_INJ057,209,0,0,0,0.0,0.0,0.0,0.0,
CCSR_INJ059,210,2,0,0,0.0,0.0,0.0,0.0,
CCSR_INJ060,211,1,0,0,0.0,0.0,0.0,0.0,
CCSR_INJ061,212,12,0,0,0.0,0.0,0.0,0.0,
CCSR_INJ062,213,2,0,0,0.0,0.0,0.0,0.0,
CCSR_INJ063,214,1,0,0,0.0,0.0,0.0,0.0,
CCSR_INJ064,215,7,0,3,0.0,0.0,0.0,0.0,
CCSR_INJ065,216,5,0,0,0.0,0.0,0.0,0.0,
CCSR_INJ067,217,4,0,0,0.0,0.0,0.0,0.0,
CCSR_INJ068,218,1,0,0,0.0,0.0,0.0,0.0,
CCSR_MBD027,260,3,0,0,0.0,0.0,0.0,0.0,
CCSR_MBD034,261,4,0,0,0.0,0.0,0.0,0.0,
CCSR_MUS005,266,2,0,0,0.0,0.0,0.0,0.0,
CCSR_MUS012,273,6,0,0,0.0,0.0,0.0,0.0,
CCSR_NEO001,298,6,0,0,0.0,0.0,0.0,0.0,
CCSR_NEO005,302,5,0,0,0.0,0.0,0.0,0.0,
CCSR_NEO007,304,12,0,0,0.0,0.0,0.0,0.0,
CCSR_NEO042,339,3,0,0,0.0,0.0,0.0,0.0,
CCSR_NEO047,344,9,0,0,0.0,0.0,0.0,0.0,
CCSR_NEO052,349,30,0,0,0.0,0.0,0.0,0.0,
CCSR_NEO054,350,1,0,0,0.0,0.0,0.0,0.0,
CCSR_NEO055,351,1,0,0,0.0,0.0,0.0,0.0,
CCSR_NEO056,352,5,0,0,0.0,0.0,0.0,0.0,
CCSR_NEO067,363,2,0,0,0.0,0.0,0.0,0.0,
CCSR_PNL004,395,3,0,0,0.0,0.0,0.0,0.0,
CCSR_PNL006,396,28,0,0,0.0,0.0,0.0,0.0,
CCSR_PNL009,397,0,0,0,0.0,0.0,0.0,0.0,
CCSR_PNL010,398,5,0,0,0.0,0.0,0.0,0.0,
CCSR_PNL013,399,1,0,0,0.0,0.0,0.0,0.0,
CCSR_PNL014,400,0,0,0,0.0,0.0,0.0,0.0,
CCSR_PNL015,401,10,0,1,0.0,0.0,0.0,0.0,
CCSR_PRG025,423,8,0,0,0.0,0.0,0.0,0.0,
